a(a(a[a], a[a]))	aN
[["Aa", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0]]	AN
[["Aa", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0]]	AN
[["Aa", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0]]	AN
[["Aa", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0]]	AN
[["Aa", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", -0], ["a", -0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", 0], ["a", -0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", 0], ["a", -0], ["a", -0]]	AN
