A	A	A	A	A	A	AN
A()A	Aa a a A a a a A	Aa	Aa Aa		Aa Aa	a a a aN
()A	Aa a a (a, a a)	Aa	Aa Aa		Aa Aa	a aN
(0)A	Aa a a a A	Aa	Aa Aa		Aa	a ^A   a-a a-a a aN
A()A	Aa A a a A	Aa	Aa Aa		Aa/Aa	a aN
A(0)A	Aa A a Aa a A?	Aa	Aa Aa		Aa	a a? a? a? a? a? a-a a-a a a a-a a a-a a-a a a-a a a-a aN
A()A	Aa a a a a A a A	Aa	Aa Aa		Aa Aa	a a-a a-a a a a-a a-a a a-a a a a-a a a a a a aN
(0A0)Aa	Aa a a 0A a a Aa	Aa	Aa Aa		Aa	N
(0)A	Aa a a a A	Aa	Aa Aa		Aa Aa	aN
A(0)A	A a Aa A	Aa	Aa Aa		Aa	a a aN
()Aa	Aa a a a a Aa (a a A)	Aa	Aa Aa		Aa	aN
Aa()A	Aa A a Aa a a	Aa	Aa Aa		Aa	aN
()Aa	Aa a a-a a a Aa a a a (a a a a-a)	Aa	Aa Aa		Aa	0-a a aN
()Aa	Aa a A a	Aa	Aa Aa		Aa	aN
Aa-A	Aa a a a a a A	Aa	Aa Aa		Aa	a a a a a a aN
Aa-Aa	Aa Aa a a a a a a Aa	Aa	Aa Aa		Aa	a a-a a aN
A	Aa a a a A a a a A	Aa	Aa Aa		Aa	a a a a aN
,A	Aa a a a a a a	Aa	Aa Aa		Aa	a AaAa a a a a 0aN
A	Aa a a A a A	Aa	Aa Aa		Aa	a a  a aN
A	Aa a a A a a a A, a a a a	Aa	Aa Aa		Aa Aa	a a a a a a a a aN
A	Aa a a a A	Aa	Aa Aa		Aa Aa	aN
AaA	Aa a a A a a a a Aa	Aa	Aa Aa		Aa	a a a aN
+\0Aa	Aa Aa a a a	Aa	Aa Aa		Aa	a a aA0 aA0 0aN
Aa	Aa a-a	Aa	Aa Aa		Aa	a a a aN
AaAa	Aa a Aa a, a a a Aa	Aa	Aa Aa		Aa	a aN
Aa+.=,A	Aa a a a a Aa a a A	Aa	Aa Aa		Aa	a aN
(|)A	Aa a a a	Aa	Aa Aa		Aa	aN
(=+)A	Aa A a?	Aa	Aa Aa		Aa	aN
(=)A	Aa A a?	Aa	Aa Aa		Aa	a a a?N
(+)A	Aa A a?	Aa	Aa Aa		Aa	aN
()Aa	Aa Aa a a?	Aa	Aa Aa		Aa	aN
A(0+)A	Aa a a A a a A	Aa	Aa Aa		Aa	a a a a aN
(0)A	Aa Aa	Aa	Aa Aa		Aa/Aa	N
(0)Aa	Aa a a a a a Aa a a	Aa	Aa Aa		Aa/Aa	0a a a aN
(*)A	Aa a a a A a a a	Aa	Aa Aa		Aa	aN
(0)A	A Aa a Aa	Aa	Aa Aa		Aa/Aa	N
(!-0)A	Aa a a A	Aa	Aa Aa		Aa	a() N
(0)A	Aa	Aa	Aa Aa		Aa/Aa	a() a() aN
(0)A	Aa	Aa	Aa Aa		Aa/Aa	a() aN
(0)A	Aa	Aa	Aa Aa		Aa/Aa	a() a() a() a() a() aN
(0)A	Aa a	Aa	Aa Aa		Aa/Aa	a() a() aN
(0)A	Aa a	Aa	Aa Aa		Aa/Aa	a() aN
(0)A	Aa a	Aa	Aa Aa		Aa/Aa	a() a() a() a() a() aN
(*0)A	Aa a a a a A	Aa	Aa Aa		Aa/Aa	aN
(~0|)A	A a Aa	Aa	Aa Aa		Aa	N
~' 'A	Aa a a a a	Aa	Aa Aa		Aa	a a a aN
(0-/)A	Aa: (A[0]-A[0])(A[0]-A[0])(A[0]-A[0])	Aa	Aa Aa		Aa	a a aN
(0/)A	Aa a a a a a a a a a: (A[0]A[0])(A[0]A[0])(A[0]A[0])	Aa	Aa Aa		Aa	a aN
(+/|)A	Aa a a a A	Aa	Aa Aa		Aa	a aN
(/|)A	Aa a-a a a a A	Aa	Aa Aa		Aa	a a a a a a aN
(/|)A	Aa a-a a a a A	Aa	Aa Aa		Aa	a a a a a aN
(0=/)Aa	Aa, a a a a	Aa	Aa Aa		Aa/Aa	0a a aN
(0/)Aa	Aa, a a a a	Aa	Aa Aa		Aa/Aa	a a 0a a aN
Aa(+/)Aa	Aa a	Aa	Aa Aa		Aa	aN
(/)A	Aa a a a a a a a	Aa	Aa Aa		Aa Aa	a , a a a a a a a  , , a aN
(|)A	Aa a-a a a a A	Aa	Aa Aa		Aa	a a a a a a a a a-a aN
(|)A	Aa a-a a a a A	Aa	Aa Aa		Aa	a a a a a a a a a-a aN
(0)Aa	Aa a a a a a (a a)	Aa	Aa Aa		Aa	a a 0a a a a aN
(0)Aa	Aa a a a a a (a a)	Aa	Aa Aa		Aa	a a a a aN
Aa@(Aa=)A	Aa a a Aa a A a Aa	Aa	Aa Aa	Aa Aa	Aa	a a a a aN
Aa(+,-)Aa	AaAa	Aa	Aa Aa		Aa	aN
Aa(-,+)Aa	AaAa	Aa	Aa Aa		Aa	aN
(+/,)A	Aa a a a a a	Aa	Aa Aa		Aa	a +, a a a aN
(+/,)A	Aa a a	Aa	Aa Aa		Aa/Aa	a a a a 0a a aN
Aa(,,0)Aa	Aa Aa a a a a Aa	Aa	Aa Aa		Aa	a aN
Aa(,,0)Aa	Aa a-a a Aa a Aa a	Aa	Aa Aa		Aa	a a a a a a a a a a a a()N
Aa(,,0 0)Aa	Aa Aa a a a a Aa	Aa	Aa Aa		Aa	a a aN
(0)A	Aa a (a a a a, a a a)	Aa	Aa Aa		Aa Aa	a a 0a a a a a a a aN
(,/)Aa	Aa a a a a	Aa	Aa Aa		Aa	a a a a a-a aN
()A	Aa a a a a	Aa	Aa Aa		Aa	a a a a a-a aN
(0)A	Aa: 'a' 0 A  ' ' 0 A ( a A0)	Aa	Aa Aa		Aa Aa	a  a 0a a a a a a aN
Aa()Aa	Aa Aa a a a Aa (a a a a a)	Aa	Aa Aa		Aa	a a a a a a aN
()A	Aa A a Aa Aa?	Aa	Aa Aa		Aa Aa	a a?N
()A	Aa A a Aa Aa?	Aa	Aa Aa		Aa Aa	a a?N
(0+)Aa	Aa Aa a a	Aa	Aa Aa		Aa	a 0aN
(0+0)Aa	Aa Aa a a	Aa	Aa Aa		Aa	a 0aN
(0)A	Aa a a a a A	Aa	Aa Aa		Aa Aa	a a aN
A(/)A	Aa a a a a A a a a a a A	Aa	Aa Aa		Aa Aa	a a a a a a a a a aN
A(/)A	Aa a a a a A a a a a a A	Aa	Aa Aa		Aa Aa	a a a 0a a a a a a a aN
(~0)A	Aa	Aa	Aa Aa		Aa/Aa	a a a a a N
(~0)A	Aa Aa	Aa	Aa Aa		Aa/Aa	a aN
(+/)A	Aa a a a a A	Aa	Aa Aa		Aa	a + a aN
Aa(/)Aa	Aa Aa a Aa a a a a a?	Aa	Aa Aa		Aa	a a? a? a aN
Aa(/)Aa	Aa Aa a Aa a Aa?	Aa	Aa Aa		Aa	a a? a N
A(0)A	Aa a a a a A a a a a A	Aa	Aa Aa		Aa Aa	a a a a 0a a a aN
()A	Aa a a a a A a?	Aa	Aa Aa		Aa	a a a a a a a a-0 a0N
Aa()Aa	Aa a Aa a a Aa	Aa	Aa Aa		Aa	a a a aN
Aa(,~)Aa	Aa a Aa (a a a a Aa) a a a a Aa	Aa	Aa Aa		Aa	a a aN
Aa(~)Aa	Aa Aa Aa	Aa	Aa Aa		Aa	N
(/)A	Aa a a a a a A	Aa	Aa Aa		Aa Aa	a a a a a a a a aN
(/)A	Aa a a a a a A	Aa	Aa Aa		Aa Aa	a a a a a a a a aN
A(\=)A	Aa a a a a a	Aa	Aa Aa		Aa	a a a a a a a a aN
A(\)A	Aa a a a a a	Aa	Aa Aa		Aa	a a a a a a a a aN
(+\0)A	Aa a a a a a a	Aa	Aa Aa		Aa	a a a aN
(\0)A	Aa a a a Aa a	Aa	Aa Aa		Aa/Aa	a-0 a0N
()Aa	Aa Aa a?	Aa	Aa Aa		Aa Aa	aN
(+)Aa	Aa Aa a Aa a?	Aa	Aa Aa		Aa	a Aa? a-a? a? A A A AN
(-)Aa	Aa Aa a-a?	Aa	Aa Aa		Aa Aa	a a a a-aN
(0/)Aa	Aa a a Aa a a a a a a a a a	Aa	Aa Aa		Aa	a a a aN
Aa(/)Aa	Aa a a Aa a a A	Aa	Aa Aa		Aa	a a a a a-0 a0N
Aa(0)Aa	Aa a a a Aa a a Aa	Aa	Aa Aa		Aa	a a a a a 0aN
Aa(+.)Aa	Aa a a a AaAa	Aa	Aa Aa		Aa	aN
(*0.0)A	Aa Aa	Aa	Aa Aa		Aa	a a  ^0.0 ^.0N
(0)Aa	Aa'a Aa: a a a a/a a a a	Aa	Aa Aa		Aa	a a a  a aN
()Aa	Aa a a a	Aa	Aa Aa		Aa/Aa	0a a a a a aN
(~)Aa	Aa a a a	Aa	Aa Aa		Aa/Aa	0a a a a aN
(0)Aa	Aa a a a a Aa	Aa	Aa Aa		Aa Aa	a aN
(0)A	Aa a A	Aa	Aa Aa		Aa	a0 a a-0N
(0)A	Aa a a A	Aa	Aa Aa		Aa	a a0 a-0 aN
()Aa	Aa Aa a Aa a?	Aa	Aa Aa		Aa	a Aa?N
()A	Aa A a a a a?	Aa	Aa Aa		Aa Aa	aN
(0 0 0)Aa	Aa a a a Aa (a a a a)	Aa	Aa Aa		Aa	a a a-a aN
(0)A	Aa a a A a?	Aa	Aa Aa		Aa	a-a? a? a? a? a? a? a?N
(0=0|A)A	Aa A a?	Aa	Aa Aa		Aa Aa	aN
(0|A0)A	Aa a a A a a a?	Aa	Aa Aa		Aa Aa	aN
{}A	Aa a a a	Aa	Aa Aa		Aa	a a a aN
+/Aa	Aa a: 0+0+0+0+0+0+Aa	Aa	Aa Aa		Aa	a aN
Aa,/A	Aa a-Aa a a a a a A	Aa	Aa Aa		Aa Aa	N
.+Aa	Aa Aa a Aa a a Aa	Aa	Aa Aa		Aa	a a a a aN
.Aa	Aa Aa a Aa a a Aa	Aa	Aa Aa		Aa	a a a a aN
.Aa	Aa a a 0Aa	Aa	Aa Aa		Aa	aN
.<Aa	Aa a a a a: Aa a Aa	Aa	Aa Aa		Aa/Aa	a A a a-a a aN
.Aa	Aa a a a a: Aa a Aa	Aa	Aa Aa		Aa/Aa	a A a a-a aN
.Aa	Aa a a a a: Aa a Aa	Aa	Aa Aa		Aa/Aa	a A a a-a aN
.>Aa	Aa a a a a: Aa a Aa	Aa	Aa Aa		Aa/Aa	a A a a-a a aN
A(0-)A	Aa a a	Aa	Aa Aa		Aa	a a a  AaN
A(0-)A	Aa a	Aa	Aa Aa		Aa	a a a a  a a AaN
A(0*)A	Aa a a a a	Aa	Aa Aa		Aa	a aN
A(+0)A	Aa a a A a a a A a a a	Aa	Aa Aa		Aa	a a() a() a aN
A(0)A	Aa a A a a A a a a	Aa	Aa Aa		Aa Aa	a a a a a aN
(0+0|0+)A	Aa a a a a a a a a	Aa	Aa Aa		Aa Aa	aN
(0=)A	Aa A a a?	Aa	Aa Aa		Aa Aa	a a0N
(0)A	A Aa a Aa	Aa	Aa Aa		Aa/Aa	N
(0*0)A	Aa a a a a A	Aa	Aa Aa		Aa/Aa	a aN
(*0)A	Aa Aa	Aa	Aa Aa		Aa	a a   ^0.0 ^.0 ^(0/0)N
(-/)A	Aa a a a a a a 0	Aa	Aa Aa		Aa	a a a a a aN
Aa(+/)A	A-a a a	Aa	Aa Aa		Aa	a a aN
(=/)A	Aa a a a a a A	Aa	Aa Aa		Aa/Aa	a a a a a a a a aN
(/0)A	Aa a a a a a	Aa	Aa Aa		Aa Aa	a aN
(/0)A	Aa a a a a A (a a a)	Aa	Aa Aa		Aa Aa	aN
(0/)Aa	Aa a a a a, a, a Aa	Aa	Aa Aa		Aa	a aN
(+)A	Aa a a A	Aa	Aa Aa		Aa	a a() A() a() a()N
A a@(0)A	Aa a A a a a a (a a a a A)	Aa	Aa Aa Aa, Aa Aa	Aa Aa	Aa Aa	a a , a a a aN
Aa@(0)A	Aa a A a Aa	Aa	Aa Aa	Aa Aa	Aa	N
(0,)Aa	Aa a a a Aa a a a a	Aa	Aa Aa		Aa	aN
(0,0/)Aa	Aa a a a a a a (a-a Aa)	Aa	Aa Aa		Aa	a a a a a aN
(0,0/)Aa	Aa a a a a a (a-a Aa)	Aa	Aa Aa		Aa	a a a a a a a 0a a aN
(/,0)A	Aa a, a a a (a a a A)	Aa	Aa Aa		Aa	a aN
(0</0,)A	Aa a a a a a a a	Aa	Aa Aa		Aa/Aa	a a a 0a a a-0 a0N
(0>/,0)A	Aa a a a a a a a	Aa	Aa Aa		Aa/Aa	a 0a a a a a-0 a0N
Aa(0,,)Aa	Aa a a a Aa a a	Aa	Aa Aa		Aa	a a a a a aN
Aa(,,0 0)Aa	Aa Aa a a a a Aa	Aa	Aa Aa		Aa	a a aN
(0>/0)A	Aa a a a a a	Aa	Aa Aa		Aa/Aa	a a 0a a aN
()A	Aa a a a a a	Aa	Aa Aa		Aa Aa	a a() a a() a a a aN
(,)A	Aa a a a A	Aa	Aa Aa		Aa	a aN
Aa()A	Aa a a A	Aa	Aa Aa		Aa	a aN
()A	Aa a a a A	Aa	Aa Aa		Aa Aa	a aN
(,)A	Aa Aa Aa A	Aa	Aa Aa		Aa Aa	aN
Aa(/)Aa	Aa Aa a Aa a Aa?	Aa	Aa Aa		Aa	a a? a N
A()A	Aa a a a a a a a (a)	Aa	Aa Aa		Aa Aa	a a aN
A(~)Aa	Aa a a a Aa a a a a A	Aa	Aa Aa		Aa/Aa	a 0a a a a a a-0 a0N
A()A	Aa a a a a a A a A	Aa	Aa Aa		Aa Aa	a a a a a a a 0a a a a a aN
A()A	Aa a A a a a a a a a a a A	Aa	Aa Aa		Aa Aa	a a a a a a a 0aN
(0<)A	Aa a a a a?	Aa	Aa Aa		Aa	a a? a? a? a aN
(0)A	Aa a a a a?	Aa	Aa Aa		Aa	a a? a? a? a aN
()Aa	Aa a a Aa	Aa	Aa Aa		Aa	a aN
(\)A	Aa a a: Aa a a a a a a (a a a a)	Aa	Aa Aa		Aa/Aa	0a a a aN
(~\)A	Aa a a a a	Aa	Aa Aa		Aa/Aa	0a a aN
(,,\)Aa	Aa a a a	Aa	Aa Aa		Aa	a aN
(0)A	Aa a a a a a	Aa	Aa Aa		Aa	a a a a a aN
()A	Aa () a a a 0 a A a a a a a	Aa	Aa Aa		Aa	Aa a a a a a aN
A()A	Aa a a a A a A	Aa	Aa Aa		Aa Aa	a a-a a-a a a a-a a-a a a-a a a-a a a-a a 0aN
(0.0+)A	Aa a a a (a a)	Aa	Aa Aa		Aa	a a a a a a a a()N
(0 0.)A	A a a	Aa	Aa Aa		Aa	a a aN
(0 0.)A	A a a	Aa	Aa Aa		Aa	a a aN
(0+0.0)A	Aa a Aa	Aa	Aa Aa		Aa Aa	Aa Aa a0a() a() aN
(0 0.)A	Aa a a a a a (a a a a a-a a)	Aa	Aa Aa		Aa Aa	a a a() a() a a a a a a aN
(0 0.)A	Aa a a a a a (a a a a a-a a)	Aa	Aa Aa		Aa Aa	a a() a() a a a a aN
Aa(0 0 0 0.+)Aa	Aa a a a a a (a a)	Aa	Aa Aa		Aa	aN
Aa(0 0 0 0.+)Aa	Aa a	Aa	Aa Aa		Aa	N
Aa(0 0 0 0.)Aa	Aa a	Aa	Aa Aa		Aa	N
Aa(0 0 0 0.)Aa	Aa a a	Aa	Aa Aa		Aa	aN
(0)A	Aa a	Aa	Aa Aa		Aa	a a A() A() aN
(0=)Aa	Aa a a a	Aa	Aa Aa		Aa/Aa	0a a a a a aN
Aa(+0)A	Aa-Aa a a	Aa	Aa Aa		Aa	aN
(0)A	Aa Aa	Aa	Aa Aa		Aa	a a a aN
(0 0|A)A	Aa A a?	Aa	Aa Aa		Aa Aa	aN
0(A0)A	Aa a a a a a a a	Aa	Aa Aa		Aa Aa	a aN
Aa{+/}Aa	Aa Aa a a Aa (Aa  Aa)	Aa	Aa Aa		Aa	a a aN
(~' ')Aa	Aa a a a	Aa	Aa Aa		Aa	a a a aN
Aa{}Aa	Aa-a a a a a (a a a)	Aa	Aa Aa		Aa	a aN
Aa.{}Aa	Aa a a a a Aa a Aa	Aa	Aa Aa		Aa	a a a aN
A(0-0-)A	Aa a a	Aa	Aa Aa		Aa	a a a a   a a Aa aN
A(0-0-)A	Aa a	Aa	Aa Aa		Aa	a a a a a a a a a   AaN
A(0+0A0)A	0-a a (A:a, A:a)	Aa	Aa Aa		Aa	a0() a0() a0() a0() a0() a0()N
Aa(0)Aa	Aa Aa: a Aa a Aa a a a a, a a a	Aa	Aa Aa		Aa/Aa	0a 0a a AaAa a a a aN
Aa(0)Aa	Aa a a Aa a a a Aa	Aa	Aa Aa		Aa/Aa	a a a a a aN
(|)A	Aa a a	Aa	Aa Aa		Aa	0 a a a a a() a() a aN
A(!!)A	Aa a a a (A,A) a	Aa	Aa Aa		Aa	aN
A(|)A	Aa a a a a A a A a a	Aa	Aa Aa		Aa	a a 0N
Aa()Aa	Aa a Aa a a Aa (a a a)	Aa	Aa Aa		Aa	a aN
Aa()Aa	Aa a Aa Aa a	Aa	Aa Aa		Aa	a a a a aN
(0*0)A	Aa a a a a A	Aa	Aa Aa		Aa/Aa	a aN
(0=?0)Aa	Aa Aa a a a Aa	Aa	Aa Aa		Aa/Aa	a0 a a-0N
(0+0)A	Aa a	Aa	Aa Aa		Aa	a()N
(0=/)A	Aa A a Aa?	Aa	Aa Aa		Aa Aa	a a? a? a?N
(+0)A	Aa a a a a a a a a a	Aa	Aa Aa		Aa	a a() a() a a a a aN
(0)A	Aa a a a a a a a a a	Aa	Aa Aa		Aa Aa	a a a a a a a a aN
(/0=)Aa	Aa a a a	Aa	Aa Aa		Aa	N
Aa(@0)A	Aa a a a a A a Aa	Aa	Aa Aa		Aa	a a a a a a aN
(>0,)Aa	Aa a a a a a	Aa	Aa Aa		Aa/Aa	a a a a a 0aN
Aa(0,)Aa	Aa Aa a a a Aa	Aa	Aa Aa		Aa	a a a aN
Aa(,)Aa	Aa a Aa-a a a a a a Aa	Aa	Aa Aa		Aa	aN
(0,0/)Aa	Aa a a a a a a (a-a Aa)	Aa	Aa Aa		Aa	a a a a a aN
(0,0/)Aa	Aa a a a a a (a-a Aa)	Aa	Aa Aa		Aa	a a a a a a a a a 0a a aN
(~/,)A	Aa a a?	Aa	Aa Aa		Aa/Aa	a a N
Aa(0+)Aa	Aa a a a a a a Aa	Aa	Aa Aa		Aa	Aa aN
(?)Aa	Aa  a a a a	Aa	Aa Aa		Aa	a a a aN
(0)A	Aa (a a a a, a a a)	Aa	Aa Aa		Aa Aa	a a 0a a a a aN
(?)A	Aa a a a a	Aa	Aa Aa		Aa	a a aN
A(+0)A	Aa a a a a a Aa a Aa	Aa	Aa Aa		Aa Aa	0aN
A()A	Aa a a a a A a A, a a	Aa	Aa Aa		Aa Aa	a a a a a a a a aN
(!0,)Aa	Aa a a a	Aa	Aa Aa		Aa	N
(,)Aa	Aa a a a a a	Aa	Aa Aa		Aa Aa	a aN
Aa(0,)Aa	Aa a Aa a a Aa	Aa	Aa Aa		Aa	a a aN
A(0=+0)A	Aa A a a a ( 0A , 0A )	Aa	Aa Aa		Aa	a <A< <A< a a a a?N
(0=)Aa	Aa a Aa	Aa	Aa Aa		Aa	a(a) (a) (a)N
A(0+0)A	Aa A a a a ( 0A , 0A )	Aa	Aa Aa		Aa	a A A a a a a?N
(=)A	Aa a a a a?	Aa	Aa Aa		Aa	a a? a? a? a aN
(>)A	Aa a a a a?	Aa	Aa Aa		Aa	a a? a? a? a aN
(0)Aa	Aa a a Aa	Aa	Aa Aa		Aa	a aN
()A	Aa a a a a a a a	Aa	Aa Aa		Aa	a a a a 0aN
()A	Aa Aa	Aa	Aa Aa		Aa	a() a a a a aN
()A	Aa A Aa-a?	Aa	Aa Aa		Aa	a a? a? a? a a aN
()Aa	Aa Aa a a?	Aa	Aa Aa		Aa Aa	aN
()A	Aa Aa	Aa	Aa Aa		Aa	a() a a a a aN
(0)A	Aa a a a A	Aa	Aa Aa		Aa	a a a a a aN
()A	Aa A Aa-a?	Aa	Aa Aa		Aa	a a? a? a a a? aN
A(\=)A	Aa a a a a a	Aa	Aa Aa		Aa	a a a a a a a aN
A(\)A	Aa a a a a a	Aa	Aa Aa		Aa	a a a a a a a aN
(+\0,)Aa	Aa a a a a a Aa	Aa	Aa Aa		Aa Aa	a-a a-a aN
(0*)A	Aa a a a a a	Aa	Aa Aa		Aa	a a a-a aN
(0*)A	Aa-a a a a a	Aa	Aa Aa		Aa	a a a a-aN
A()A	Aa a a A a A	Aa	Aa Aa		Aa Aa	a a a a-a a a-a a aN
(0.0+)A	Aa a Aa	Aa	Aa Aa		Aa Aa	Aa Aa a0a() a() aN
(.=,)A	Aa a a a A a?	Aa	Aa Aa		Aa	a a a? a a aN
Aa(0+)A	Aa a a a a A a a Aa	Aa	Aa Aa		Aa	N
(0+0+)Aa	Aa a a Aa a a a a a a a	Aa	Aa Aa		Aa Aa	N
0(+0)A	Aa a	Aa	Aa Aa		Aa	a a a a a() a() a() a() a() a() a 0a a aN
(|0|0+\)Aa	A a a a a a a a Aa	Aa	Aa Aa		Aa	AaAaAaAa a a 0aN
(0)Aa	Aa a a a Aa a a a Aa	Aa	Aa Aa		Aa	a a a a a a aN
Aa(0*)A	Aa a a A a a a a Aa (A:0 0 0)	Aa	Aa Aa		Aa Aa	aN
(+)Aa	Aa Aa a Aa a?	Aa	Aa Aa		Aa	a Aa?N
(0)A	Aa a a A a?	Aa	Aa Aa		Aa	a-a? a? a? a?N
(0=A 0)A	Aa A Aa?	Aa	Aa Aa		Aa Aa	a a a-0 a0N
(0+A)Aa	Aa a a a a a	Aa	Aa Aa		Aa Aa	a() a a() a a aN
{0<A,}Aa	Aa Aa a?	Aa	Aa Aa		Aa	a? a? a a a aN
{0=A,}Aa	Aa Aa a?	Aa	Aa Aa		Aa	a? a? a a a a'a a aN
{0A,}Aa	Aa Aa a a A a?	Aa	Aa Aa		Aa	a a a a a? a? a? a? a a?N
(' '0)A	Aa a a a a a a a A	Aa	Aa Aa		Aa Aa	0a a a-a a a aN
({})Aa	Aa a /Aa a	Aa	Aa Aa		Aa	a a a aN
A	Aa A a a a a a A	Aa	Aa Aa		Aa	a a a aN
(+0|)A	Aa a a a a (a a)	Aa	Aa Aa		Aa	a a a a aN
A(+0=)A	Aa a a A a a a a A	Aa	Aa Aa		Aa	a a a a a 0a a a a a aN
(0)Aa	Aa a-a a-a a Aa a a a	Aa	Aa Aa		Aa	aN
A(0)A	Aa a a a a A a a A	Aa	Aa Aa		Aa/Aa	aN
A(*0+)A	Aa a a a a a a A a A a	Aa	Aa Aa		Aa	N
Aa(0+~)A	Aa a A a a-a a Aa	Aa	Aa Aa		Aa/Aa	a aN
A(|)A	Aa: Aa a a a A a A	Aa	Aa Aa		Aa	aN
(*)A	Aa a	Aa	Aa Aa		Aa	a A() A() aN
(0 0+/)A	Aa-a a a a	Aa	Aa Aa		Aa	% a aN
(0+)A	Aa-a a a a	Aa	Aa Aa		Aa	% a aN
A a@(0-)A	Aa a a (a a a a A) a a a a A	Aa	Aa Aa Aa, Aa Aa	Aa Aa	Aa Aa	a a aN
(,0,0)Aa	Aa-a a a a Aa	Aa	Aa Aa		Aa	a aN
(,0,0)Aa	Aa a a a Aa	Aa	Aa Aa		Aa	a aN
(,0)A	Aa a a a a a a	Aa	Aa Aa		Aa	a a a a a a a aN
A()A	Aa () a a a a a a	Aa	Aa Aa		Aa	a a a a a a-a a-a a a a aN
(+/0=)Aa	Aa'a a a	Aa	Aa Aa		Aa	a(a) (a) (a)N
(=)A	Aa a a a a a a a a a A	Aa	Aa Aa		Aa	a a 0aN
A(~)A	Aa a a A a a a a A	Aa	Aa Aa		Aa	a a 0a a aN
Aa(/,)Aa	Aa a a a	Aa	Aa Aa		Aa	aN
(0-/,0)Aa	Aa a a a a	Aa	Aa Aa		Aa Aa	a a a aN
(0-/,0)Aa	Aa a a Aa a a a a	Aa	Aa Aa		Aa/Aa	aN
(0-/0,)Aa	Aa a a a a	Aa	Aa Aa		Aa Aa	a a aN
A(~)A	Aa a a a a A a a A	Aa	Aa Aa		Aa Aa	a a 0aN
A(0=0 0+0)A	Aa A a a a [ 0A , 0A ]	Aa	Aa Aa		Aa	a A A a a a a?N
A(0=0 0+0)A	Aa A a a a ( 0A , 0A ]	Aa	Aa Aa		Aa	a <A <A a a a a?N
A(0 0+0)A	Aa A a a a [ 0A , 0A ]	Aa	Aa Aa		Aa	a >A> >A> a a a a?N
A(0 0+0)A	Aa A a a a ( 0A , 0A ]	Aa	Aa Aa		Aa	a A> A> a a a a?N
()Aa	Aa-a-a a Aa	Aa	Aa Aa		Aa	a_0(a) a(a) a0 (a) a(a) (a) (a) aA0 aA0N
Aa()A	Aa a a (0,0,0) a a a	Aa	Aa Aa		Aa	a a a aN
(+\+\)Aa	Aa Aa a a	Aa	Aa Aa		Aa	0aN
(=)A	Aa a a A a a a?	Aa	Aa Aa		Aa	a a a a aN
(=)A	Aa a a A a a a?	Aa	Aa Aa		Aa	a a a a aN
Aa(0 0)Aa	Aa a Aa a a Aa	Aa	Aa Aa		Aa	a aN
Aa(,0)Aa	Aa a Aa a a Aa	Aa	Aa Aa		Aa	a a a a a a a-a a a a aN
(Aa0 0)Aa	Aa'a Aa a Aa: a a a Aa a 0 a 0-a-0 a	Aa	Aa Aa		Aa	a a a a-aN
(.!0,)Aa	Aa a a Aa	Aa	Aa Aa		Aa	a'a a aN
Aa(.)Aa	Aa Aa (a a a a?)	Aa	Aa Aa		Aa	a a?N
Aa(.)Aa	Aa Aa a a Aa?	Aa	Aa Aa		Aa Aa	aN
(+/0)A	Aa a (0 a a)	Aa	Aa Aa		Aa	aN
Aa(+0)A	Aa-Aa a a	Aa	Aa Aa		Aa	aN
Aa(+.0)Aa	Aa a a a a Aa a a Aa	Aa	Aa Aa		Aa	N
Aa(0,)Aa	Aa a a a a a a A a Aa a A a Aa	Aa	Aa Aa		Aa	a a a a=a+a a=a+aN
{.##}A	Aa a a a a a a A	Aa	Aa Aa		Aa	a a a aN
(0(|-))Aa	A a a a Aa a a	Aa	Aa Aa		Aa	a aN
(/' '=)A	Aa a a a	Aa	Aa Aa		Aa/Aa	a a a a a a aN
((,)0)Aa	Aa a a (a,a)	Aa	Aa Aa		Aa	a a a aN
(0,{0})Aa	Aa-a a a a a a Aa	Aa	Aa Aa		Aa	a aN
(0,{0})Aa	Aa a a a a a Aa	Aa	Aa Aa		Aa	a aN
(\' ')A	Aa a a	Aa	Aa Aa		Aa/Aa	a a a a a aN
Aa{0-/[]}A	Aa a a a a A a a Aa	Aa	Aa Aa		Aa	a a a a aN
(/'  ')A	Aa A a a a a? (a a)	Aa	Aa Aa		Aa	a a a? a a aN
(+.' ')A	Aa a a a a a A	Aa	Aa Aa		Aa	aN
(' '=)Aa	Aa a a a	Aa	Aa Aa		Aa	a a a aN
(' '=)Aa	Aa a a a	Aa	Aa Aa		Aa	a a aN
((0A)0)A	Aa a a a a a a (a a)	Aa	Aa Aa		Aa Aa	a a a a() a a a() a aN
Aa({})A	A'a Aa a Aa Aa a a Aa	Aa	Aa Aa		Aa	a a a a aN
Aa(+!+)Aa	Aa a	Aa	Aa Aa		Aa	A(a,a) (a,a) A() () a() N
Aa(+0)A	Aa A a a-a a a Aa	Aa	Aa Aa		Aa	aN
(0+0|+0=)A	Aa a a a a a A	Aa	Aa Aa		Aa	a a aN
Aa(0-)Aa	Aa a a Aa a a a Aa	Aa	Aa Aa		Aa/Aa	a a a aN
A(+|-)A	Aa a a A a A a a 0 a A	Aa	Aa Aa		Aa	a a a 0a aN
A(+|)A	Aa a a a a a a	Aa	Aa Aa		Aa	a a a a a a aN
(+/|0-/)Aa	Aa a a a a a a	Aa	Aa Aa		Aa	a a a aN
